ele,d_elec,f_elec
Ac,1,0
Ag,10,0
Al,0,0
Am,0,7
Ar,0,0
As,10,0
At,0,0
Au,10,14
B,0,0
Ba,0,0
Be,0,0
Bh,0,0
Bi,10,14
Bk,0,0
Br,10,0
C,0,0
Ca,0,0
Cd,10,0
Ce,1,1
Cf,0,0
Cl,0,0
Cm,0,0
Cn,0,0
Co,7,0
Cr,5,0
Cs,0,0
Cu,10,0
Db,0,0
Ds,0,0
Dy,0,10
Er,0,12
Es,0,0
Eu,0,7
F,0,0
Fe,6,0
Fm,0,0
Fr,0,0
Ga,10,0
Gd,1,7
Ge,10,0
H,0,0
He,0,0
Hf,2,14
Hg,10,14
Ho,0,11
Hs,0,0
I,10,0
In,10,0
Ir,7,14
K,0,0
Kr,0,0
La,1,0
Li,0,0
Lr,0,0
Lu,1,14
Md,0,0
Mg,0,0
Mn,5,0
Mo,5,0
Mt,0,0
N,0,0
Na,0,0
Nb,4,0
Nd,0,4
Ne,0,0
Ni,8,0
No,0,0
Np,1,4
O,0,0
Os,6,14
P,0,0
Pa,1,2
Pb,10,14
Pd,10,0
Pm,0,5
Po,10,14
Pr,0,3
Pt,9,14
Pu,0,6
Ra,0,0
Rb,0,0
Re,5,14
Rf,0,0
Rg,0,0
Rh,8,0
Rn,0,0
Ru,7,0
S,0,0
Sb,10,0
Sc,1,0
Se,10,0
Sg,0,0
Si,0,0
Sm,0,6
Sn,10,0
Sr,0,0
Ta,3,14
Tb,0,9
Tc,5,0
Te,10,0
Th,2,0
Ti,2,0
Tl,10,14
Tm,0,13
U,1,3
V,3,0
W,4,14
Xe,0,0
Y,1,0
Yb,0,14
Zn,10,0
Zr,2,0
